1	306
1	414
1	424
1	524
1	658
1	872
1	884
2	312
2	338
2	652
2	655
2	666
2	671
2	963
3	184
3	292
3	548
3	594
3	602
3	625
3	949
4	161
4	207
4	638
4	654
4	705
4	748
4	894
5	10
5	45
5	379
5	648
5	701
5	898
5	940
6	466
6	678
6	801
6	805
6	880
6	882
6	958
7	43
7	276
7	722
7	740
7	811
7	880
7	937
8	287
8	467
8	550
8	782
8	795
8	849
8	983
9	386
9	539
9	632
9	752
9	885
9	901
9	913
10	5
10	108
10	512
10	577
10	611
10	797
10	855
11	26
11	538
11	647
11	823
11	832
11	869
11	899
12	115
12	225
12	605
12	658
12	721
12	773
12	794
13	47
13	375
13	391
13	534
13	600
13	652
13	860
14	322
14	377
14	493
14	774
14	823
14	889
14	949
15	194
15	305
15	591
15	608
15	731
15	738
15	881
16	193
16	308
16	325
16	735
16	896
16	970
16	975
17	19
17	368
17	709
17	765
17	776
17	864
17	935
18	202
18	214
18	346
18	376
18	451
18	899
18	978
19	17
19	205
19	448
19	487
19	586
19	589
19	983
20	139
20	277
20	423
20	468
20	524
20	714
20	987
21	425
21	683
21	731
21	778
21	858
21	946
21	991
22	612
22	772
22	795
22	910
22	917
22	918
22	978
23	343
23	545
23	572
23	648
23	842
23	932
23	951
24	159
24	404
24	432
24	491
24	553
24	722
24	750
25	113
25	154
25	463
25	568
25	705
25	793
25	805
26	11
26	140
26	177
26	293
26	683
26	801
26	851
27	51
27	269
27	667
27	745
27	878
27	899
27	948
28	105
28	137
28	497
28	535
28	714
28	793
28	921
29	352
29	365
29	507
29	632
29	639
29	663
29	994
30	56
30	68
30	198
30	609
30	844
30	845
30	988
31	156
31	571
31	592
31	672
31	739
31	973
31	974
32	251
32	378
32	420
32	696
32	792
32	850
32	912
33	156
33	254
33	540
33	584
33	762
33	797
33	874
34	150
34	205
34	255
34	264
34	434
34	544
34	836
35	314
35	409
35	710
35	843
35	894
35	965
35	968
36	92
36	511
36	651
36	800
36	905
36	909
36	920
37	91
37	111
37	462
37	568
37	661
37	868
37	965
38	225
38	233
38	274
38	311
38	344
38	949
38	955
39	76
39	93
39	308
39	829
39	866
39	939
39	964
40	197
40	409
40	441
40	508
40	689
40	815
40	921
41	203
41	222
41	643
41	703
41	756
41	804
41	884
42	118
42	310
42	338
42	393
42	469
42	528
42	890
43	7
43	151
43	349
43	541
43	837
43	878
43	887
44	145
44	460
44	601
44	903
44	941
44	975
44	983
45	5
45	154
45	341
45	790
45	850
45	866
45	877
46	328
46	416
46	637
46	669
46	809
46	895
46	920
47	13
47	208
47	344
47	464
47	651
47	976
47	990
48	197
48	228
48	528
48	698
48	754
48	793
48	797
49	96
49	456
49	566
49	650
49	749
49	762
49	977
50	131
50	329
50	356
50	408
50	855
50	883
50	990
51	27
51	342
51	636
51	670
51	756
51	759
51	848
52	113
52	216
52	230
52	644
52	903
52	929
52	987
53	158
53	704
53	739
53	846
53	898
53	933
53	937
54	60
54	119
54	323
54	336
54	627
54	776
54	927
55	176
55	192
55	296
55	379
55	639
55	796
55	850
56	30
56	119
56	242
56	361
56	415
56	532
56	999
57	122
57	283
57	468
57	694
57	712
57	781
57	905
58	264
58	399
58	483
58	568
58	628
58	644
58	836
59	102
59	172
59	307
59	353
59	638
59	834
59	974
60	54
60	86
60	147
60	204
60	605
60	676
60	884
61	201
61	217
61	405
61	555
61	602
61	662
61	770
62	118
62	250
62	267
62	627
62	749
62	759
62	961
63	150
63	381
63	447
63	611
63	660
63	665
63	681
64	158
64	224
64	240
64	444
64	587
64	809
64	900
65	341
65	387
65	394
65	412
65	664
65	819
65	858
66	247
66	654
66	695
66	699
66	814
66	931
66	942
67	215
67	470
67	518
67	525
67	574
67	673
67	723
68	30
68	414
68	492
68	716
68	827
68	909
68	947
69	127
69	174
69	749
69	772
69	833
69	855
69	997
70	187
70	287
70	469
70	519
70	872
70	904
70	976
71	149
71	478
71	571
71	726
71	828
71	939
71	953
72	152
72	222
72	592
72	705
72	740
72	799
72	899
73	165
73	189
73	439
73	845
73	911
73	922
73	998
74	180
74	286
74	575
74	822
74	891
74	897
74	972
75	221
75	411
75	445
75	783
75	796
75	837
75	903
76	39
76	91
76	153
76	321
76	443
76	888
76	923
